Postal District,Average Price,Date
PL31,"£206,414",20200417
PL32,"£282,957",20200417
PL33,"£233,918",20200417
PL34,"£343,869",20200417
PL35,"£342,771",20200417
PL95,,20200417
PO1,"£241,068",20200417
PO2,"£214,143",20200417
PO3,"£239,512",20200417
PO4,"£264,206",20200417
PO5,"£255,961",20200417
PO6,"£292,185",20200417
PO7,"£327,774",20200417
PO8,"£339,759",20200417
PO9,"£295,122",20200417
PO10,"£425,879",20200417
PO11,"£357,410",20200417
PO12,"£232,950",20200417
PO13,"£259,739",20200417
PO14,"£340,668",20200417
PO15,"£336,549",20200417
PO16,"£305,457",20200417
PO17,"£438,935",20200417
PO18,"£576,091",20200417
PO19,"£387,832",20200417
PO20,"£429,314",20200417
PO21,"£303,703",20200417
PO22,"£334,343",20200417
PO24,,20200417
PO30,"£243,790",20200417
PO31,"£289,030",20200417
PO32,"£216,996",20200417
PO33,"£250,110",20200417
PO34,"£400,384",20200417
PO35,"£392,201",20200417
PO36,"£243,963",20200417
PO37,"£262,984",20200417
PO38,"£299,842",20200417
PO39,"£319,611",20200417
PO40,"£277,439",20200417
PO41,"£436,736",20200417
PR0,,20200417
PR1,"£135,620",20200417
PR2,"£173,259",20200417
PR3,"£270,480",20200417
PR4,"£237,631",20200417
PR5,"£175,026",20200417
PR6,"£215,204",20200417
PR7,"£190,507",20200417
PR8,"£233,834",20200417
PR9,"£207,055",20200417
PR11,,20200417
PR25,"£174,677",20200417
PR26,"£230,073",20200417
RG1,"£313,505",20200417
RG2,"£364,589",20200417
RG3,,20200417
RG4,"£529,356",20200417
RG5,"£423,440",20200417
RG6,"£413,777",20200417
RG7,"£533,074",20200417
RG8,"£729,516",20200417
RG9,"£873,662",20200417
RG10,"£647,868",20200417
RG11,,20200417
RG12,"£347,778",20200417
RG13,,20200417
RG14,"£379,344",20200417
RG15,,20200417
RG16,,20200417
RG17,"£474,558",20200417
RG18,"£468,081",20200417
RG19,"£361,866",20200417
RG20,"£680,751",20200417
RG21,"£279,962",20200417
RG22,"£331,846",20200417
RG23,"£372,641",20200417
RG24,"£346,210",20200417
RG25,"£590,234",20200417
RG26,"£423,414",20200417
RG27,"£568,469",20200417
RG28,"£428,818",20200417
RG29,"£676,770",20200417
RG30,"£308,035",20200417
RG31,"£402,712",20200417
RG40,"£561,978",20200417
RG41,"£506,607",20200417
RG42,"£495,176",20200417
RG45,"£523,001",20200417
RH1,"£427,918",20200417
RH2,"£626,432",20200417
RH3,"£725,134",20200417
RH4,"£541,003",20200417
RH5,"£701,057",20200417
RH6,"£410,664",20200417
RH7,"£553,286",20200417
RH8,"£718,139",20200417
RH9,"£497,467",20200417
RH10,"£376,645",20200417
RH11,"£291,465",20200417
RH12,"£444,466",20200417
RH13,"£495,160",20200417
RH14,"£547,637",20200417
RH15,"£388,075",20200417
RH16,"£438,407",20200417
RH17,"£655,075",20200417
RH18,"£612,911",20200417
RH19,"£450,213",20200417
RH20,"£579,178",20200417
RH77,,20200417
RM1,"£390,289",20200417
RM2,"£523,118",20200417
RM3,"£344,319",20200417
RM4,"£713,981",20200417
RM5,"£357,254",20200417
RM6,"£361,107",20200417
RM7,"£336,002",20200417
RM8,"£300,736",20200417
RM9,"£304,336",20200417
RM10,"£291,281",20200417
RM11,"£545,690",20200417
RM12,"£399,804",20200417
RM13,"£339,064",20200417
RM14,"£568,711",20200417
RM15,"£297,200",20200417
RM16,"£370,741",20200417
RM17,"£271,931",20200417
RM18,"£244,748",20200417
RM19,"£227,185",20200417
RM20,"£239,178",20200417
RM50,,20200417
S1,"£143,409",20200417
S2,"£130,174",20200417
S3,"£132,824",20200417
S4,"£94,700",20200417
S5,"£118,065",20200417
S6,"£201,007",20200417
S7,"£302,178",20200417
S8,"£216,401",20200417
S9,"£114,709",20200417
S10,"£338,957",20200417
S11,"£349,975",20200417
S12,"£157,819",20200417
S13,"£156,886",20200417
S14,"£99,141",20200417
S17,"£406,575",20200417
S18,"£270,124",20200417
S19,,20200417
S20,"£193,562",20200417
S21,"£187,659",20200417
S25,"£179,518",20200417
S26,"£204,955",20200417
S30,,20200417
S31,,20200417
S32,"£475,379",20200417
S33,"£389,165",20200417
S35,"£217,369",20200417
S36,"£212,635",20200417
S40,"£215,172",20200417
S41,"£189,240",20200417
S42,"£239,926",20200417
S43,"£167,291",20200417
S44,"£168,294",20200417
S45,"£202,147",20200417
S49,—,20200417
S60,"£202,654",20200417
S61,"£138,781",20200417
S62,"£145,784",20200417
S63,"£136,201",20200417
S64,"£131,366",20200417
S65,"£138,068",20200417
S66,"£184,555",20200417
S69,,20200417
S70,"£130,676",20200417
S71,"£141,970",20200417
S72,"£138,859",20200417
S73,"£139,335",20200417
S74,"£152,317",20200417
S75,"£199,676",20200417
S80,"£159,257",20200417
S81,"£193,523",20200417
S94,,20200417
S95,,20200417
S96,,20200417
S97,,20200417
S98,,20200417
S99,,20200417
SA1,"£138,523",20200417
SA2,"£235,626",20200417
SA3,"£347,798",20200417
SA4,"£185,823",20200417
SA5,"£132,109",20200417
SA6,"£137,573",20200417
SA7,"£165,931",20200417
SA8,"£167,477",20200417
SA9,"£133,475",20200417
SA10,"£168,832",20200417
SA11,"£128,449",20200417
SA12,"£132,816",20200417
SA13,"£134,578",20200417
SA14,"£158,960",20200417
SA15,"£137,815",20200417
SA16,"£157,783",20200417
SA17,"£164,389",20200417
SA18,"£149,727",20200417
SA19,"£250,306",20200417
SA20,"£208,227",20200417
SA31,"£179,443",20200417
SA32,"£282,768",20200417
SA33,"£235,354",20200417
SA34,"£227,683",20200417
SA35,"£254,680",20200417
SA36,"£191,810",20200417
SA37,"£233,848",20200417
SA38,"£232,568",20200417
SA39,"£206,699",20200417
SA40,"£185,823",20200417
SA41,"£235,541",20200417
SA42,"£347,981",20200417
SA43,"£211,924",20200417
SA44,"£223,418",20200417
SA45,"£245,248",20200417
SA46,"£228,976",20200417
SA47,"£214,721",20200417
SA48,"£216,814",20200417
SA61,"£176,640",20200417
SA62,"£250,908",20200417
SA63,"£257,902",20200417
SA64,"£185,124",20200417
SA65,"£204,443",20200417
SA66,"£232,803",20200417
SA67,"£242,365",20200417
SA68,"£231,690",20200417
SA69,"£273,219",20200417
SA70,"£264,901",20200417
SA71,"£197,500",20200417
SA72,"£160,431",20200417
SA73,"£167,873",20200417
SA80,,20200417
SA99,,20200417
SE1,"£758,103",20200417
SE1P,,20200417
SE2,"£314,723",20200417
SE3,"£709,481",20200417
SE4,"£555,395",20200417
SE5,"£549,317",20200417
SE6,"£423,469",20200417
SE7,"£460,071",20200417
SE8,"£425,677",20200417
SE9,"£466,271",20200417
SE10,"£620,093",20200417
SE11,"£636,826",20200417
SE12,"£447,046",20200417
SE13,"£471,783",20200417
SE14,"£441,374",20200417
SE15,"£542,857",20200417
SE16,"£516,869",20200417
SE17,"£518,178",20200417
SE18,"£366,686",20200417
SE19,"£446,990",20200417
SE20,"£375,051",20200417
SE21,"£1,069,012",20200417
SE22,"£755,015",20200417
SE23,"£527,500",20200417
SE24,"£834,082",20200417
SE25,"£358,475",20200417
SE26,"£478,816",20200417
SE27,"£556,441",20200417
SE28,"£326,884",20200417
SE99,,20200417
SG1,"£308,756",20200417
SG2,"£331,893",20200417
SG3,"£539,288",20200417
SG4,"£480,609",20200417
SG5,"£429,106",20200417
SG6,"£394,063",20200417
SG7,"£407,933",20200417
SG8,"£468,220",20200417
SG9,"£550,726",20200417
SG10,"£875,433",20200417
SG11,"£619,626",20200417
SG12,"£463,721",20200417
SG13,"£534,725",20200417
SG14,"£513,232",20200417
SG15,"£304,738",20200417
SG16,"£403,342",20200417
SG17,"£387,567",20200417
SG18,"£342,612",20200417
SG19,"£360,500",20200417
SK1,"£145,929",20200417
SK2,"£241,500",20200417
SK3,"£199,636",20200417
SK4,"£312,778",20200417
SK5,"£164,329",20200417
SK6,"£290,984",20200417
SK7,"£390,781",20200417
SK8,"£334,531",20200417
SK9,"£547,700",20200417
SK10,"£369,030",20200417
SK11,"£265,176",20200417
SK12,"£377,348",20200417
SK13,"£235,400",20200417
SK14,"£181,237",20200417
SK15,"£201,273",20200417
SK16,"£164,945",20200417
SK17,"£262,226",20200417
SK22,"£243,134",20200417
SK23,"£282,782",20200417
SL0,"£605,015",20200417
SL1,"£340,951",20200417
SL2,"£446,055",20200417
SL3,"£433,198",20200417
SL4,"£581,771",20200417
SL5,"£858,606",20200417
SL6,"£571,347",20200417
SL7,"£698,266",20200417
SL8,"£665,009",20200417
SL9,"£961,523",20200417
SL60,,20200417
SL95,,20200417
SM1,"£395,486",20200417
SM2,"£543,973",20200417
SM3,"£475,956",20200417
SM4,"£432,698",20200417
SM5,"£453,018",20200417
SM6,"£438,250",20200417
SM7,"£627,946",20200417
SN1,"£223,220",20200417
SN2,"£198,019",20200417
SN3,"£253,370",20200417
SN4,"£333,585",20200417
SN5,"£256,264",20200417
SN6,"£365,982",20200417
SN7,"£386,307",20200417
SN8,"£512,141",20200417
SN9,"£431,716",20200417
SN10,"£326,436",20200417
SN11,"£284,020",20200417
SN12,"£276,827",20200417
SN13,"£367,524",20200417
