Postal District,Average Price,Date
BN11,"£296,452",20200417
BN12,"£403,553",20200417
BN13,"£334,027",20200417
BN14,"£367,066",20200417
BN15,"£297,876",20200417
BN16,"£407,577",20200417
BN17,"£275,096",20200417
BN18,"£458,595",20200417
BN20,"£398,045",20200417
BN21,"£280,978",20200417
BN22,"£262,861",20200417
BN23,"£283,873",20200417
BN24,"£330,171",20200417
BN25,"£358,634",20200417
BN26,"£330,757",20200417
BN27,"£315,814",20200417
BN41,"£310,654",20200417
BN42,"£373,130",20200417
BN43,"£395,124",20200417
BN44,"£461,334",20200417
BN45,"£722,636",20200417
BN50,,20200417
BN51,,20200417
BN52,,20200417
BN88,,20200417
BN91,,20200417
BN95,,20200417
BN99,—,20200417
BR1,"£530,834",20200417
BR2,"£570,400",20200417
BR3,"£592,643",20200417
BR4,"£595,940",20200417
BR5,"£453,718",20200417
BR6,"£599,758",20200417
BR7,"£791,818",20200417
BR8,"£366,759",20200417
BR98,,20200417
BS0,,20200417
BS1,"£348,260",20200417
BS2,"£275,451",20200417
BS3,"£313,047",20200417
BS4,"£264,302",20200417
BS5,"£241,401",20200417
BS6,"£543,558",20200417
BS7,"£367,350",20200417
BS8,"£583,977",20200417
BS9,"£581,861",20200417
BS10,"£275,307",20200417
BS11,"£227,807",20200417
BS12,,20200417
BS13,"£228,083",20200417
BS14,"£265,824",20200417
BS15,"£260,348",20200417
BS16,"£319,546",20200417
BS17,,20200417
BS18,,20200417
BS19,,20200417
BS20,"£383,782",20200417
BS21,"£351,017",20200417
BS22,"£243,425",20200417
BS23,"£223,511",20200417
BS24,"£258,383",20200417
BS25,"£453,624",20200417
BS26,"£443,322",20200417
BS27,"£360,514",20200417
BS28,"£602,211",20200417
BS29,"£326,480",20200417
BS30,"£323,745",20200417
BS31,"£390,242",20200417
BS32,"£324,455",20200417
BS34,"£269,930",20200417
BS35,"£376,769",20200417
BS36,"£416,849",20200417
BS37,"£300,906",20200417
BS38,,20200417
BS39,"£365,189",20200417
BS40,"£549,715",20200417
BS41,"£516,428",20200417
BS48,"£424,880",20200417
BS49,"£364,494",20200417
BS77,,20200417
BS80,—,20200417
BS98,—,20200417
BS99,,20200417
BT1,"£184,373",20200417
BT2,"£165,743",20200417
BT3,"£168,199",20200417
BT4,"£207,547",20200417
BT5,"£181,563",20200417
BT6,"£163,872",20200417
BT7,"£187,821",20200417
BT8,"£216,356",20200417
BT9,"£393,351",20200417
BT10,"£199,530",20200417
BT11,"£143,922",20200417
BT12,"£99,676",20200417
BT13,"£100,054",20200417
BT14,"£130,263",20200417
BT15,"£179,121",20200417
BT16,"£171,950",20200417
BT17,"£155,865",20200417
BT18,"£380,056",20200417
BT19,"£218,531",20200417
BT20,"£217,375",20200417
BT21,"£254,962",20200417
BT22,"£198,830",20200417
BT23,"£199,523",20200417
BT24,"£217,405",20200417
BT25,"£197,247",20200417
BT26,"£342,935",20200417
BT27,"£216,984",20200417
BT28,"£191,780",20200417
BT29,"£215,442",20200417
BT30,"£222,633",20200417
BT31,"£193,312",20200417
BT32,"£171,791",20200417
BT33,"£206,842",20200417
BT34,"£209,861",20200417
BT35,"£170,867",20200417
BT36,"£150,478",20200417
BT37,"£164,728",20200417
BT38,"£159,277",20200417
BT39,"£200,356",20200417
BT40,"£157,324",20200417
BT41,"£168,140",20200417
BT42,"£177,619",20200417
BT43,"£166,898",20200417
BT44,"£169,467",20200417
BT45,"£167,189",20200417
BT46,"£145,366",20200417
BT47,"£163,590",20200417
BT48,"£153,793",20200417
BT49,"£147,600",20200417
BT51,"£190,517",20200417
BT52,"£150,753",20200417
BT53,"£167,118",20200417
BT54,"£211,689",20200417
BT55,"£213,294",20200417
BT56,"£195,546",20200417
BT57,"£189,071",20200417
BT58,,20200417
BT60,"£155,973",20200417
BT61,"£182,754",20200417
BT62,"£142,113",20200417
BT63,"£150,571",20200417
BT64,"£130,448",20200417
BT65,"£101,941",20200417
BT66,"£166,656",20200417
BT67,"£196,295",20200417
BT68,"£88,722",20200417
BT69,"£204,264",20200417
BT70,"£159,444",20200417
BT71,"£161,374",20200417
BT74,"£159,168",20200417
BT75,"£145,516",20200417
BT76,"£145,493",20200417
BT77,"£228,622",20200417
BT78,"£158,491",20200417
BT79,"£155,207",20200417
BT80,"£158,477",20200417
BT81,"£136,971",20200417
BT82,"£139,555",20200417
BT92,"£134,130",20200417
BT93,"£153,641",20200417
BT94,"£164,162",20200417
BT99,,20200417
CA1,"£137,875",20200417
CA2,"£131,780",20200417
CA3,"£204,210",20200417
CA4,"£283,543",20200417
CA5,"£273,069",20200417
CA6,"£228,179",20200417
CA7,"£192,221",20200417
CA8,"£242,841",20200417
CA9,"£209,189",20200417
CA10,"£291,388",20200417
CA11,"£253,599",20200417
CA12,"£381,153",20200417
CA13,"£257,256",20200417
CA14,"£153,256",20200417
CA15,"£139,390",20200417
CA16,"£245,857",20200417
CA17,"£256,029",20200417
CA18,"£237,337",20200417
CA19,"£305,539",20200417
